"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"ENSG00000005108.15",2143,732,732,929,1862,1393,2671,1389,2132,1000,1186
"ENSG00000005156.11",1665,1242,1153,755,1058,1628,1236,874,1388,1613,1531
"ENSG00000005175.9",696,451,522,394,476,757,449,296,524,609,510
"ENSG00000005187.11",134,20,18,62,63,45,71,28,77,84,25
"ENSG00000005189.19",91,31,47,51,48,53,66,33,57,62,98
"ENSG00000005194.14",401,498,401,343,461,688,438,354,405,462,469
"ENSG00000005206.16",648,474,507,328,436,597,558,303,527,719,673
"ENSG00000005238.19",766,951,989,980,854,1232,1063,617,777,1283,1019
"ENSG00000005243.9",1847,746,1377,1032,1263,1275,1449,770,1017,2494,1692
"ENSG00000005249.12",292,166,81,87,154,223,186,131,182,171,125
"ENSG00000005302.17",760,733,814,607,684,1236,695,470,725,848,860
"ENSG00000005339.14",7464,4965,3977,4213,4610,5392,5381,3547,5343,6469,5382
"ENSG00000005379.15",663,195,295,294,263,165,521,221,237,646,227
"ENSG00000005381.7",9,10,10,11,6,10,0,5,7,5,3
"ENSG00000005421.8",0,0,1,0,0,0,0,0,1,1,0
"ENSG00000005436.13",356,234,198,241,248,286,244,151,184,203,146
"ENSG00000005448.16",138,152,115,246,158,169,132,143,149,131,152
"ENSG00000005469.11",373,216,192,153,267,265,261,216,264,324,258
"ENSG00000005471.15",21,7,8,5,5,12,11,27,10,6,6
"ENSG00000005483.20",4812,3087,2570,3471,3234,3801,3134,2948,2985,3697,3182
"ENSG00000005486.16",620,653,517,450,687,690,613,712,823,621,585
"ENSG00000005513.9",29,9,12,12,8,21,12,10,15,5,4
"ENSG00000005700.14",2077,1665,1403,1181,1533,3061,1097,1081,1343,1721,1600
"ENSG00000005801.16",285,391,250,283,327,445,250,215,239,184,209
"ENSG00000005810.17",7374,6165,6752,5674,6020,8385,6416,4717,6479,7141,7191
"ENSG00000005812.10",1982,1624,1604,1204,1367,2021,1437,1369,1568,1841,1370
"ENSG00000005844.17",221,490,248,424,327,325,229,375,481,230,370
"ENSG00000005882.11",729,330,374,252,554,430,656,299,459,813,584
"ENSG00000005884.17",1494,3719,4273,1733,3053,2024,1856,2967,4091,3590,3330
"ENSG00000005889.15",3389,2541,2429,3225,2564,3208,2376,1765,2381,3270,3002
"ENSG00000005893.15",3999,3946,2526,2207,3669,4170,3321,3396,3894,3174,3186
"ENSG00000005961.17",54,152,29,21,81,89,56,43,44,166,82
"ENSG00000005981.12",0,2,2,0,0,2,0,0,1,0,0
"ENSG00000006007.11",2233,2214,2672,1729,2360,2653,2223,1623,2454,3895,2849
"ENSG00000006015.17",519,405,427,334,448,349,572,273,490,613,494
"ENSG00000006016.10",253,885,779,367,848,1211,432,5023,1078,106,211
"ENSG00000006025.11",217,111,105,148,102,112,166,103,108,172,150
"ENSG00000006042.11",1490,906,843,905,1306,1161,1163,1044,981,1534,1242
"ENSG00000006047.12",24,3,6,4,3,1,5,1,5,13,6
"ENSG00000006059.3",0,0,0,1,0,1,1,0,0,0,0
"ENSG00000006062.14",402,357,314,296,302,347,431,256,371,301,442
"ENSG00000006071.12",90,1,0,4,1,3,26,0,24,10,0
"ENSG00000006116.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006118.14",111,1337,322,370,867,551,245,399,742,124,253
"ENSG00000006125.17",6758,5250,5381,5680,5798,7213,7645,5515,6607,5749,6510
"ENSG00000006128.11",0,0,1,0,1,3,0,0,0,0,1
"ENSG00000006194.9",621,559,617,572,587,749,600,467,646,629,644
"ENSG00000006210.6",851,261,280,108,368,229,207,151,267,871,316
"ENSG00000006282.20",941,782,987,633,711,378,944,566,1194,477,948
"ENSG00000006283.17",775,183,12,53,127,22,260,116,101,11,23
"ENSG00000006327.13",1209,1843,3005,1983,1984,5417,1013,1795,1169,1795,2419
"ENSG00000006377.10",0,42,0,14,65,1,1,23,184,0,0
"ENSG00000006432.15",12,294,8,36,101,9,13,41,268,7,14
"ENSG00000006451.7",1496,1203,1094,1056,1184,1581,1117,1663,1183,1360,1330
"ENSG00000006453.13",51,991,60,90,262,87,94,69,1113,51,70
"ENSG00000006459.10",1146,1498,941,2034,1024,1908,803,1244,899,1097,938
"ENSG00000006468.13",221,68,53,33,58,96,69,43,77,96,73
"ENSG00000006530.15",469,366,364,329,405,576,397,289,419,472,467
"ENSG00000006534.15",473,755,595,528,1013,506,970,1308,1234,628,681
"ENSG00000006555.10",10,5,4,21,35,4,5,14,27,6,8
"ENSG00000006576.16",913,1069,1200,854,1106,1898,645,691,651,903,1285
"ENSG00000006606.8",13,10,2,7,4,24,4,8,6,6,8
"ENSG00000006607.13",1366,1062,1405,931,978,1924,1137,870,1047,1525,1414
"ENSG00000006611.15",5,1,1,0,0,4,1,0,3,0,1
"ENSG00000006625.17",184,282,375,280,405,958,171,131,196,248,339
"ENSG00000006634.7",109,144,110,50,101,249,82,67,99,118,103
"ENSG00000006638.11",694,412,250,144,554,381,439,423,325,418,368
"ENSG00000006652.13",571,1031,837,658,638,1570,418,474,585,495,745
"ENSG00000006659.12",0,10,0,5,3,0,0,0,18,0,0
"ENSG00000006695.10",392,392,363,262,372,472,356,272,435,462,499
"ENSG00000006704.10",463,440,560,655,571,896,588,425,455,522,543
"ENSG00000006712.14",1049,867,816,652,881,1036,943,657,959,1033,887
"ENSG00000006715.15",2072,1609,1645,1497,1944,1854,1680,1473,1878,2209,2023
"ENSG00000006740.16",184,138,143,119,159,151,112,84,148,186,139
"ENSG00000006744.18",1508,1115,1629,1025,1329,1609,1554,1008,1181,1938,1773
"ENSG00000006747.14",24,195,29,164,195,66,33,123,392,16,116
"ENSG00000006756.15",980,1228,969,592,1019,825,1092,922,1713,1207,1145
"ENSG00000006757.11",326,144,156,155,274,170,323,155,293,338,291
"ENSG00000006788.13",30,2,3,5,3,7,18,9,6,10,11
"ENSG00000006831.9",1834,1780,1430,1174,1697,1995,1594,1318,1668,1807,1700
"ENSG00000006837.11",29,34,22,24,29,25,32,21,13,13,23
"ENSG00000007001.12",3,2,1,3,1,1,5,2,3,0,0
"ENSG00000007038.10",1,11,3,1,1,2,6,2,4,4,0
"ENSG00000007047.14",1351,973,1509,1456,1337,1666,1229,859,1095,1822,1495
"ENSG00000007062.11",1,157,12,220,412,17,11,294,522,2,7
"ENSG00000007080.10",943,874,988,1038,1218,1769,1023,561,904,1148,1046
"ENSG00000007129.17",19,25,43,39,24,18,20,43,63,40,32
"ENSG00000007168.12",7095,5910,6048,4560,5375,8211,5713,4362,5639,7067,6789
"ENSG00000007171.16",7,10,0,9,8,2,10,3,53,6,3
"ENSG00000007174.17",82,33,56,43,54,20,94,26,51,98,62
"ENSG00000007202.14",6207,6620,6953,4704,6703,7648,6461,4513,6029,7484,7672
"ENSG00000007216.14",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000007237.18",6749,4756,3694,3343,5074,7167,6475,3509,4949,5287,3405
"ENSG00000007255.10",119,99,139,120,124,85,129,85,194,191,149
"ENSG00000007264.14",32,121,39,59,33,37,32,104,60,38,39
"ENSG00000007306.14",0,3,0,0,4,1,2,4,2,0,0
"ENSG00000007312.12",64,36,40,24,71,82,42,35,39,54,49
"ENSG00000007314.12",9,11,4,1,7,3,4,5,10,6,7
"ENSG00000007341.18",548,309,296,394,370,613,315,286,312,505,411
"ENSG00000007350.16",0,2,1,2,3,1,1,1,1,0,3
"ENSG00000007372.21",0,1,2,1,0,2,0,0,0,1,1
"ENSG00000007376.7",276,314,406,251,389,421,327,152,320,407,408
"ENSG00000007384.15",908,745,493,568,660,534,990,669,794,853,750
"ENSG00000007392.16",700,621,393,701,576,750,576,423,382,511,491
"ENSG00000007402.11",63,17,14,17,34,9,22,15,22,41,24
"ENSG00000007516.13",11,22,7,21,35,10,11,16,18,4,6
"ENSG00000007520.3",777,672,885,714,815,750,779,475,780,1106,1006
"ENSG00000007541.16",611,476,630,404,557,495,694,472,474,566,472
"ENSG00000007545.15",542,544,396,370,469,528,492,387,511,520,464
"ENSG00000007866.19",3210,2331,3113,2282,2694,3037,3044,1508,2835,4857,4147
"ENSG00000007908.15",54,187,117,3,289,169,1,6,5,3,5
"ENSG00000007923.15",899,987,939,779,937,1331,904,665,957,957,1016
"ENSG00000007933.12",6,7,5,3,25,14,5,10,2,18,9
"ENSG00000007944.14",909,1189,1052,566,1058,913,1090,884,1360,1177,883
"ENSG00000007952.17",1,2,1,0,2,0,1,1,3,0,1
"ENSG00000007968.6",28,34,30,30,29,87,63,30,47,53,29
"ENSG00000008018.8",1878,1989,2252,1725,2569,2952,1938,1625,2052,2335,2320
"ENSG00000008056.13",20,206,105,82,128,455,57,28,43,26,73
"ENSG00000008083.13",685,939,530,625,535,798,533,559,982,597,527
"ENSG00000008086.11",3637,655,458,555,779,1020,1336,591,959,886,763
"ENSG00000008118.9",316,69,15,93,77,60,424,79,117,28,75
"ENSG00000008128.22",35,37,30,60,30,46,36,26,23,36,36
"ENSG00000008130.15",1239,1370,1327,969,1228,1589,1514,997,1187,1427,1343
"ENSG00000008196.12",3,0,0,15,1,0,1,0,7,0,0
