"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"ENSG00000114248.9",0,2,1,5,0,1,0,1,5,0,2
"ENSG00000114251.14",1841,9055,1357,4749,13153,1610,3421,20712,7945,994,3029
"ENSG00000114268.11",77,467,87,629,242,193,100,220,400,75,89
"ENSG00000114270.17",1054,3343,791,2510,1967,1680,1439,4100,1132,399,1031
"ENSG00000114279.13",40,6,9,2,13,24,15,9,24,14,15
"ENSG00000114302.15",2870,2579,3088,2286,2868,4445,2782,1697,2762,3481,3476
"ENSG00000114315.3",629,180,319,439,494,572,569,310,333,317,438
"ENSG00000114316.12",1656,1486,1533,1553,1593,1747,1624,1300,1517,1865,1770
"ENSG00000114331.13",2290,2099,1678,1417,1785,2506,1734,1471,1668,1885,1828
"ENSG00000114346.13",284,401,472,381,410,739,352,241,346,331,442
"ENSG00000114349.9",0,1,0,0,0,0,0,1,0,0,0
"ENSG00000114353.16",8855,7799,8946,7874,9567,10294,10904,7903,9194,9699,10119
"ENSG00000114354.13",2443,2890,1997,2045,2915,4691,2379,1769,2562,2764,2676
"ENSG00000114374.12",0,0,0,0,0,0,0,0,259,0,0
"ENSG00000114378.16",215,136,182,185,209,378,281,140,129,95,177
"ENSG00000114383.9",535,516,654,421,600,804,510,370,599,688,680
"ENSG00000114388.12",212,244,214,167,229,202,243,144,243,313,257
"ENSG00000114391.12",6212,4251,4303,4574,5919,7537,4117,3275,4923,5668,5357
"ENSG00000114395.10",67,128,76,57,105,128,108,110,97,69,101
"ENSG00000114405.10",168,135,190,85,191,270,105,67,99,150,155
"ENSG00000114416.17",2829,2503,2139,2273,2217,3054,2103,1847,2512,2613,2500
"ENSG00000114423.18",1307,2882,1295,1404,1478,2369,1536,2009,1536,913,900
"ENSG00000114439.18",3963,3039,2531,2148,2663,3038,2807,1810,3583,3382,2891
"ENSG00000114446.4",1219,664,1027,798,879,1244,920,589,844,1043,1007
"ENSG00000114450.9",2528,1661,2514,1568,1989,2137,1456,1590,1399,2260,2231
"ENSG00000114455.13",0,0,1,0,1,0,0,4,3,0,1
"ENSG00000114473.13",397,328,349,309,376,309,332,243,320,412,358
"ENSG00000114480.12",1392,2473,2697,6471,2329,4605,2449,2086,2133,2011,3008
"ENSG00000114487.9",24,2,2,2,8,7,25,4,6,16,6
"ENSG00000114491.13",472,461,384,301,475,716,430,272,495,406,529
"ENSG00000114503.10",1490,1290,1288,1132,1404,2181,1386,986,1334,1636,1640
"ENSG00000114520.10",568,482,474,426,510,813,395,379,487,475,506
"ENSG00000114529.12",43,236,50,73,70,205,24,72,95,39,29
"ENSG00000114541.14",863,816,686,730,791,904,1013,963,1053,721,692
"ENSG00000114544.16",911,584,489,671,652,786,758,637,718,1016,764
"ENSG00000114547.9",1,1,1,0,0,1,0,0,8,4,0
"ENSG00000114554.11",3690,4889,3963,3021,3972,5312,4255,2570,3605,6035,5642
"ENSG00000114573.9",1547,1875,1270,1130,1798,1963,1400,1714,2161,1502,1502
"ENSG00000114626.17",675,542,392,480,531,516,668,409,528,781,494
"ENSG00000114631.10",84,53,49,46,64,56,55,68,91,57,59
"ENSG00000114638.7",1,2025,3,4,362,2,2,198,1812,1,0
"ENSG00000114646.9",49,22,23,41,12,20,32,17,21,38,31
"ENSG00000114648.11",826,982,1006,581,811,1228,815,653,785,994,1080
"ENSG00000114650.18",2440,2208,2263,1518,2185,2306,2515,1603,2499,2992,2613
"ENSG00000114654.7",101,35,50,102,96,72,105,96,66,43,45
"ENSG00000114656.10",5,11,9,13,6,5,5,11,5,8,6
"ENSG00000114670.13",376,195,181,204,209,208,320,172,287,251,247
"ENSG00000114686.8",1264,1160,1184,827,1180,2231,1014,721,1136,1290,1409
"ENSG00000114698.14",1863,1143,1167,1839,1361,1975,1492,1654,1286,2115,2213
"ENSG00000114735.9",531,489,308,469,399,421,559,371,366,514,457
"ENSG00000114737.15",354,400,194,327,562,344,355,564,377,344,344
"ENSG00000114738.10",325,583,391,320,473,911,409,409,440,377,394
"ENSG00000114739.13",461,778,261,319,481,346,391,434,1148,448,416
"ENSG00000114742.13",1645,1214,925,980,1240,1219,1548,1059,1345,1545,1312
"ENSG00000114744.8",767,575,502,367,638,912,585,393,499,639,636
"ENSG00000114745.13",1211,1208,1258,858,1131,1292,1114,759,1160,1320,1302
"ENSG00000114757.18",2,1,1,0,1,0,2,1,2,0,2
"ENSG00000114767.6",210,255,288,201,270,433,253,148,247,235,277
"ENSG00000114770.16",618,860,557,737,620,989,672,518,563,721,609
"ENSG00000114771.13",2,6,2,14,0,1,77,14,0,3,1
"ENSG00000114779.19",1011,574,644,688,836,664,954,762,866,1027,889
"ENSG00000114784.3",830,812,680,618,741,929,752,508,793,920,826
"ENSG00000114786.16",2,0,0,0,2,4,1,2,1,0,0
"ENSG00000114790.12",1226,447,784,452,587,722,765,359,595,1634,1772
"ENSG00000114796.15",1622,1672,1048,1190,1365,1184,1230,1208,1699,1846,1363
"ENSG00000114805.16",11,57,3,59,50,17,43,106,48,15,28
"ENSG00000114812.12",39,8,21,17,6,16,66,6,18,37,14
"ENSG00000114841.17",509,541,239,459,369,438,539,383,277,442,340
"ENSG00000114850.6",10369,6361,5493,4418,7273,11817,5496,5116,6007,7317,6679
"ENSG00000114853.13",4380,2607,5000,4566,4557,5651,4373,1713,2861,6221,5107
"ENSG00000114854.7",7,5,3,2,4,3,1,7,7,4,2
"ENSG00000114857.17",2238,1551,968,1737,1137,1395,1478,1266,1078,1191,1256
"ENSG00000114859.15",83,54,34,62,48,40,75,37,65,61,36
"ENSG00000114861.18",2638,4016,2611,3074,2426,6075,2413,3051,2326,2267,2802
"ENSG00000114867.20",13584,13201,15664,10248,12909,21668,13671,8512,13005,16747,16155
"ENSG00000114902.13",1095,890,717,536,912,1087,898,772,928,917,927
"ENSG00000114904.12",1018,754,761,787,718,1023,791,540,821,1019,903
"ENSG00000114923.16",1367,422,1027,628,790,486,833,307,566,1137,930
"ENSG00000114933.15",2193,2038,1368,1228,1489,2390,1367,1304,1628,1753,1673
"ENSG00000114942.13",3292,3122,3541,3182,4835,6173,3089,1911,3395,4134,4211
"ENSG00000114948.12",464,178,260,295,422,371,335,407,333,368,439
"ENSG00000114956.19",574,534,510,460,555,685,510,344,513,565,545
"ENSG00000114978.17",6042,4790,4458,3467,4517,6708,4329,3182,4553,5508,5220
"ENSG00000114982.17",2102,1701,1385,1356,1585,2041,1825,1123,1676,2306,1759
"ENSG00000114988.11",643,520,388,301,397,494,432,255,545,665,518
"ENSG00000114993.16",243,264,145,217,289,241,227,256,250,175,169
"ENSG00000114999.7",1516,1580,1946,1361,1902,2510,1678,1270,1383,2233,2290
"ENSG00000115008.5",3,329,19,11,291,1,12,17,10,0,3
"ENSG00000115009.11",0,16,8,3,12,5,1,12,4,0,0
"ENSG00000115020.16",2090,1875,1445,1381,1539,2231,1523,1327,1570,1670,1651
"ENSG00000115041.12",578,227,666,401,430,491,490,144,426,913,706
"ENSG00000115042.9",307,235,284,247,305,328,294,225,262,336,213
"ENSG00000115053.15",9544,8933,8826,8814,9115,16932,8418,6212,8703,9657,9081
"ENSG00000115073.7",1566,1338,1666,1488,1691,1437,1772,1258,1755,2233,1841
"ENSG00000115084.13",1860,2283,1552,1317,1640,2710,1305,1254,1772,1537,1778
"ENSG00000115085.13",55,34,30,110,54,15,85,78,62,37,46
"ENSG00000115091.11",5464,5651,7008,5511,6362,11804,5325,4070,5633,6749,7439
"ENSG00000115107.19",72,565,131,142,295,496,188,129,206,100,145
"ENSG00000115109.13",908,494,696,639,635,788,727,383,719,869,840
"ENSG00000115112.7",6,148,9,227,279,63,71,240,509,60,22
"ENSG00000115128.6",958,763,777,723,905,1371,865,702,830,998,1036
"ENSG00000115129.13",378,368,209,247,432,402,425,370,278,302,294
"ENSG00000115137.11",301,151,156,175,170,251,225,132,159,239,224
"ENSG00000115138.10",50,194,77,97,57,101,29,32,65,76,55
"ENSG00000115145.9",1356,1111,1067,1019,1109,1816,1103,883,1077,1182,1221
"ENSG00000115155.16",4,7,5,15,8,6,6,23,3,7,4
"ENSG00000115159.15",529,730,373,496,547,681,461,504,536,346,416
"ENSG00000115163.14",8,26,30,18,18,41,21,8,26,36,27
"ENSG00000115165.9",147,292,80,317,178,157,97,275,156,88,91
"ENSG00000115170.13",2031,1123,1546,1002,1178,1718,1487,1006,1476,2408,1879
"ENSG00000115183.14",2795,2437,2488,2416,2436,2905,1925,1790,2040,1988,2234
"ENSG00000115194.10",12,6,3,5,13,17,5,11,6,3,7
"ENSG00000115204.14",717,726,879,671,853,785,762,599,705,866,897
"ENSG00000115207.13",875,816,746,548,891,1191,872,551,913,995,811
"ENSG00000115211.15",550,533,535,526,625,789,562,369,520,665,655
"ENSG00000115216.13",3017,2615,2481,1790,2495,3077,2497,1663,2711,3038,2630
"ENSG00000115221.10",8,878,12,15,113,14,9,31,241,20,7
"ENSG00000115226.9",124,208,136,148,295,216,107,118,101,128,194
"ENSG00000115232.13",278,836,581,401,558,702,298,655,503,218,508
"ENSG00000115233.11",975,1138,1368,1096,1286,2189,1010,756,1068,1232,1295
"ENSG00000115234.10",1989,1640,2014,1378,1876,2112,2115,1287,1948,2561,2364
"ENSG00000115239.21",44,40,37,38,34,36,32,39,38,43,39
"ENSG00000115241.10",1619,1518,1657,1299,1672,2486,1554,955,1657,1883,1874
"ENSG00000115252.18",618,271,167,203,218,310,255,257,201,252,217
"ENSG00000115255.10",46,37,27,25,59,22,48,48,45,40,31
"ENSG00000115257.15",38,31,20,28,25,17,36,21,28,26,33
"ENSG00000115263.14",0,1,0,0,0,0,0,0,2,0,0
"ENSG00000115266.11",15,15,15,5,2,8,7,6,10,2,10
"ENSG00000115267.5",354,928,442,903,471,514,680,889,942,372,492
"ENSG00000115268.9",4844,3697,4001,3930,5267,5814,4240,3108,4757,5657,5033
"ENSG00000115271.10",144,623,234,260,258,546,152,153,200,171,221
"ENSG00000115274.14",45,31,25,23,39,45,48,37,31,60,55
"ENSG00000115275.11",905,1820,809,616,1228,1478,950,836,1477,1014,1036
"ENSG00000115282.19",429,334,253,208,310,395,316,251,313,344,296
"ENSG00000115286.19",566,461,546,461,574,597,658,390,574,711,679
"ENSG00000115289.13",219,214,205,192,216,240,222,158,250,203,197
"ENSG00000115290.9",37,19,35,39,11,14,24,5,13,21,52
"ENSG00000115295.19",825,888,1032,1296,1109,1365,1114,819,954,1313,1274
"ENSG00000115297.10",0,2,5,0,0,4,2,0,3,1,0
"ENSG00000115306.15",40568,21073,33741,33298,34659,33771,45644,29486,32697,37561,33128
"ENSG00000115307.16",1161,1643,1315,1128,1395,1888,1200,1149,1365,1164,1220
"ENSG00000115310.17",8301,9778,9070,6855,8025,16725,7533,6101,8760,8250,10949
"ENSG00000115317.11",446,426,393,342,423,572,410,275,379,484,448
"ENSG00000115318.11",431,512,443,1039,536,608,492,572,411,463,502
"ENSG00000115325.13",361,327,389,379,402,388,454,354,416,423,449
"ENSG00000115339.13",15,865,7,51,152,34,12,55,511,15,25
"ENSG00000115350.11",491,276,369,288,455,560,439,267,439,493,383
"ENSG00000115353.10",208,132,116,16,161,154,46,66,105,253,119
"ENSG00000115355.15",2640,2004,2227,1853,1655,3348,1943,1770,1751,2209,2636
"ENSG00000115361.7",22,8,2,12,13,3,1,5,11,7,1
"ENSG00000115363.13",42,306,33,55,112,61,41,77,535,24,37
"ENSG00000115364.13",1234,975,1053,759,1006,1377,1025,604,1002,1290,1221
"ENSG00000115365.11",1923,1019,1059,735,1173,1391,1410,1002,1096,1637,1361
"ENSG00000115368.9",856,649,533,483,600,1088,646,512,589,590,635
"ENSG00000115380.19",3411,7491,4440,10984,12909,15111,7874,12428,7214,3337,5629
"ENSG00000115386.5",0,0,0,0,0,0,0,0,3,0,0
"ENSG00000115392.11",397,226,164,167,204,226,295,204,254,241,218
"ENSG00000115414.18",159118,2301124,310484,254847,547709,458291,248946,159380,2253285,340424,328755
"ENSG00000115415.18",2978,3821,3286,4986,3769,4988,4998,5419,5489,3076,4160
"ENSG00000115419.12",3174,3485,3513,2972,3148,3874,2092,2164,2276,3392,3168
"ENSG00000115421.12",642,500,287,321,397,520,387,398,388,443,359
"ENSG00000115423.18",85,30,14,17,36,17,14,27,25,31,9
"ENSG00000115425.13",107,41,63,48,79,45,64,55,79,128,71
"ENSG00000115446.11",709,631,509,402,597,781,646,467,636,703,668
"ENSG00000115457.9",5749,9575,24598,17783,19801,12428,22093,7573,14533,12930,22784
"ENSG00000115459.17",402,301,260,320,350,348,391,245,301,390,371
"ENSG00000115461.4",373866,37498,37401,71579,77100,51341,291479,31884,120087,96777,78794
"ENSG00000115464.14",8713,6225,5403,5261,5886,9081,5362,3734,5414,7972,6945
"ENSG00000115468.11",1163,2330,821,1705,2649,2115,2387,1864,2633,635,1318
"ENSG00000115474.6",0,0,0,2,1,0,0,0,1,0,0
"ENSG00000115484.14",2765,2965,2941,2392,3178,4899,2709,1959,2925,2998,3262
"ENSG00000115486.11",1812,1514,1012,772,1206,1453,1198,1096,1691,1416,1373
"ENSG00000115488.3",0,1,0,0,4,0,0,0,2,0,0
"ENSG00000115504.14",3594,2000,2549,2435,2390,2581,2682,1810,2679,3380,3139
"ENSG00000115507.9",1,1,0,1,2,0,4,0,1,2,2
"ENSG00000115514.11",364,432,397,282,480,745,329,263,348,361,392
"ENSG00000115520.8",876,1006,867,551,723,1449,706,586,734,896,918
"ENSG00000115523.16",42,109,48,1262,175,20,104,303,158,87,63
"ENSG00000115524.15",5805,5290,4058,4403,4636,6335,4388,3687,4648,4649,4495
"ENSG00000115525.17",177,750,181,384,1404,241,393,2281,1114,402,386
"ENSG00000115526.10",460,191,253,201,349,340,339,216,465,444,288
"ENSG00000115539.13",705,490,1000,791,796,1056,700,398,694,1164,1131
"ENSG00000115540.14",481,538,452,298,473,741,298,253,427,358,470
"ENSG00000115541.10",363,519,413,336,502,925,286,227,315,291,463
"ENSG00000115548.16",1441,1328,1008,2737,1114,1243,1048,1458,1317,1521,1264
"ENSG00000115556.13",35,14,31,26,16,18,17,30,16,23,17
"ENSG00000115561.15",3136,1542,2530,1733,2210,3135,2638,1499,2411,3656,2735
"ENSG00000115568.15",955,748,767,619,727,1024,933,563,793,1060,894
"ENSG00000115590.13",33,3258,77,130,1894,167,138,1612,1776,27,44
"ENSG00000115592.11",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000115593.14",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115594.11",6655,20080,9957,15603,20231,25420,12474,22448,18226,8686,11635
"ENSG00000115596.3",22,116,4,30,78,3,28,67,135,4,19
"ENSG00000115598.9",8,47,23,39,30,50,33,52,27,8,28
"ENSG00000115602.16",114,9002,622,1415,15274,1170,943,10493,5139,42,370
"ENSG00000115604.10",81,247,56,65,188,151,40,243,87,30,42
"ENSG00000115607.9",24,179,33,62,39,81,19,27,18,30,32
"ENSG00000115616.2",1,0,2,0,1,0,0,1,0,0,0
"ENSG00000115641.18",2621,3103,3649,3969,3002,5376,2268,1867,3509,2065,4352
"ENSG00000115648.13",273,501,56,390,1108,116,349,690,361,80,137
"ENSG00000115649.15",1242,1021,1096,1008,1113,1343,1498,995,1366,1562,1252
"ENSG00000115652.14",811,1060,481,678,976,946,699,761,1041,649,605
"ENSG00000115657.12",49,35,43,88,38,42,43,21,29,49,45
"ENSG00000115661.13",371,339,365,292,413,371,370,271,410,444,437
"ENSG00000115665.8",32,0,0,0,0,1,1,0,0,1,4
"ENSG00000115677.16",23429,18038,19371,16660,19698,22834,19248,13564,20929,29060,22174
"ENSG00000115685.14",1134,869,1090,753,1084,1174,1089,825,981,1414,1246
"ENSG00000115687.13",72,113,74,67,127,107,75,70,69,56,57
"ENSG00000115694.14",1593,1402,1499,1496,1531,1896,1619,1085,1462,1756,1757
"ENSG00000115705.20",9,0,6,0,1,2,1,0,5,17,1
"ENSG00000115718.17",1,1,1,1,0,0,0,0,2,0,2
"ENSG00000115738.9",504,549,529,520,619,792,370,367,356,635,814
"ENSG00000115750.16",385,354,230,215,290,451,293,259,370,244,269
"ENSG00000115756.12",1526,2319,3232,2421,2182,2102,2111,1076,2490,2536,2435
"ENSG00000115758.12",1684,1295,3510,2148,2538,4011,1548,1207,1410,2759,2916
"ENSG00000115760.13",7550,7656,6040,5277,5635,9204,6070,4878,6768,7200,6964
"ENSG00000115761.15",772,750,671,578,708,1135,631,421,634,877,802
"ENSG00000115762.16",1443,2915,2624,1983,2779,3443,2001,2172,2609,1770,2717
"ENSG00000115806.12",2962,3090,2226,1514,2539,3905,2425,1801,2675,3050,2978
"ENSG00000115808.11",1813,1548,1416,1399,1437,2382,1277,1108,1488,1946,1531
"ENSG00000115816.14",1162,1048,1028,873,1154,1873,910,808,945,1016,1109
"ENSG00000115825.9",2105,1679,1086,1242,1345,1887,1602,1013,1559,1693,1434
"ENSG00000115827.13",558,478,438,378,486,659,395,336,456,568,532
"ENSG00000115828.15",441,522,212,330,646,345,529,814,578,353,353
"ENSG00000115839.17",3715,2736,3327,2762,2668,4403,2975,2138,3122,4007,3635
"ENSG00000115840.13",755,409,607,324,454,679,611,325,485,806,782
"ENSG00000115841.19",167,149,129,157,170,171,207,126,142,159,147
"ENSG00000115844.10",0,2,0,1,0,1,0,0,0,0,1
"ENSG00000115850.9",0,4,0,2,1,3,0,1,2,0,1
"ENSG00000115866.10",1827,1963,1849,2874,2154,3196,1659,1330,1861,2564,2233
"ENSG00000115875.18",1553,1186,1066,988,1025,1659,1027,916,947,978,1056
"ENSG00000115884.10",90,928,147,400,495,421,81,172,1377,58,153
"ENSG00000115896.15",14173,1938,5056,1722,3313,1772,8341,2483,5598,12874,6863
"ENSG00000115902.10",1099,681,934,559,677,1197,943,625,754,915,1034
"ENSG00000115904.12",3129,2535,2064,1804,2164,3218,2175,1564,2349,2667,2525
"ENSG00000115919.14",43,301,112,157,178,161,115,203,169,92,108
"ENSG00000115934.11",3,0,0,0,0,0,0,0,0,0,2
"ENSG00000115935.17",5259,4965,3028,4438,4530,7350,4736,5097,3884,4468,4340
"ENSG00000115942.8",530,390,280,311,322,454,323,269,389,361,309
"ENSG00000115944.14",1359,1122,1092,1143,1379,1545,1124,993,1241,1463,1435
"ENSG00000115946.7",444,541,629,403,554,1090,427,308,487,481,656
"ENSG00000115947.13",486,448,328,266,360,514,259,239,384,340,325
"ENSG00000115956.9",259,1394,963,596,675,920,624,608,768,579,858
"ENSG00000115963.13",2439,8817,3731,4363,5709,7444,2437,2640,4056,1797,3797
"ENSG00000115966.16",1607,1190,1005,1085,1163,1595,1099,879,1174,1272,1237
"ENSG00000115970.18",1361,1139,822,1024,846,1626,1013,777,915,1019,1082
"ENSG00000115977.18",4962,5155,6340,4660,4454,7294,4312,3082,4068,5661,6223
"ENSG00000115993.12",4289,3823,4954,4701,5007,6471,4256,2536,3703,5517,6078
"ENSG00000115998.7",312,264,239,180,245,269,263,184,265,269,245
"ENSG00000116001.15",1190,911,608,768,816,1243,760,618,659,836,763
"ENSG00000116005.11",7896,5235,4264,3907,4872,2227,7363,5293,6981,8255,5181
"ENSG00000116014.9",0,40,1,4,4,1,0,1,73,1,0
"ENSG00000116016.13",12758,28287,12029,9271,17319,25350,8988,6906,34965,15537,16070
"ENSG00000116017.10",295,2956,327,507,829,476,385,580,3758,404,419
"ENSG00000116030.16",1356,1180,1099,850,1244,1670,1172,943,1140,1211,1271
"ENSG00000116031.8",11,4,8,7,8,6,17,6,7,7,6
"ENSG00000116032.5",6,14,9,6,8,10,9,37,8,2,2
"ENSG00000116035.2",18,5,13,6,15,12,16,7,6,12,15
"ENSG00000116039.11",16,14,6,16,44,14,18,16,30,7,12
"ENSG00000116044.15",3450,3200,2604,2503,2887,3978,3014,2406,2590,2975,3212
"ENSG00000116062.14",1855,1607,1346,1390,1494,1825,1351,854,1532,1690,1595
"ENSG00000116095.10",2213,1673,1466,1261,1564,2409,1313,1042,1486,2159,1999
"ENSG00000116096.5",264,367,525,216,435,365,326,200,325,423,442
"ENSG00000116106.11",680,221,300,208,276,382,324,165,363,581,362
"ENSG00000116117.17",2374,1071,2045,2331,1992,1842,2176,1582,1747,2913,2280
"ENSG00000116120.9",737,673,769,568,718,1460,677,468,676,731,861
"ENSG00000116127.17",3650,1837,1734,1986,2192,2803,2196,1250,2078,2834,2236
"ENSG00000116128.10",1935,732,897,600,870,1438,1015,514,986,1539,1254
"ENSG00000116132.11",7222,4617,3309,2480,4761,8257,5749,3191,3232,5442,4742
"ENSG00000116133.11",435,561,139,280,636,758,235,249,861,121,176
"ENSG00000116138.12",1379,1083,938,758,1047,1544,1021,662,1132,1089,1246
"ENSG00000116141.15",326,182,270,128,174,282,151,155,194,462,267
"ENSG00000116147.16",6,2,0,2,1,5,0,0,2,2,3
"ENSG00000116151.13",223,148,88,104,140,159,191,134,138,161,141
"ENSG00000116157.5",380,183,275,183,234,403,276,220,288,447,269
"ENSG00000116161.17",825,1045,901,740,985,1308,673,541,879,782,925
"ENSG00000116171.17",2663,1705,2169,1775,2132,2296,2451,1440,2229,2939,2694
"ENSG00000116176.6",6,4,2,5,3,2,3,0,0,2,0
"ENSG00000116183.10",29,75633,49,36,16009,44,38,13,79625,120,89
"ENSG00000116191.17",1043,813,629,662,731,1007,918,469,1087,871,978
"ENSG00000116194.12",4575,326,1264,736,461,1169,2207,671,1177,1908,1422
"ENSG00000116198.12",2071,1989,2978,2433,2298,2647,2326,1276,2295,3654,3202
"ENSG00000116199.11",3623,3089,4220,3389,3811,5030,3552,2503,3359,5159,5045
"ENSG00000116205.12",773,528,787,516,620,500,699,318,683,1190,964
"ENSG00000116209.11",5344,4877,4354,2746,4442,4147,4123,4204,6309,4412,4504
"ENSG00000116212.14",542,416,443,429,474,758,502,356,488,541,524
"ENSG00000116213.15",272,272,298,239,251,342,313,171,257,319,356
"ENSG00000116218.12",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000116221.15",782,763,969,753,974,1224,799,585,784,1106,1032
"ENSG00000116237.15",4067,3762,4163,2908,3837,4666,3757,2525,3676,5375,4880
"ENSG00000116251.9",5963,3803,3195,3307,4184,6148,3402,2557,4003,4977,4317
"ENSG00000116254.17",9,10,5,7,3,11,4,1,6,4,11
"ENSG00000116260.16",7923,22012,5507,4256,7920,5960,5809,5537,37369,9257,6931
"ENSG00000116266.10",977,960,763,769,756,1062,804,636,869,844,821
"ENSG00000116273.5",1040,847,729,701,838,878,866,757,851,1196,1033
"ENSG00000116285.12",2552,8034,1690,2618,2120,6969,1867,2350,2666,2250,2349
"ENSG00000116288.12",2354,2095,2554,2215,2595,3483,2214,1585,2285,3091,2811
"ENSG00000116299.16",18,150,26,21,57,44,40,45,206,17,43
"ENSG00000116329.10",1,2,3,1,3,0,2,1,5,0,2
"ENSG00000116337.15",837,1076,801,688,977,1199,754,588,786,903,928
"ENSG00000116350.16",2610,2220,2237,2517,2240,3221,2070,1519,2149,2835,2325
"ENSG00000116353.15",335,263,289,242,294,388,382,209,315,432,359
"ENSG00000116396.14",902,1083,726,761,1333,1497,804,806,769,872,1499
"ENSG00000116406.18",3118,3160,2213,1625,2370,4566,1850,1938,2406,2623,2567
"ENSG00000116455.13",472,422,453,296,463,681,419,247,367,535,558
"ENSG00000116459.10",1991,1643,1784,1389,1865,2735,1774,1217,1946,2127,2325
"ENSG00000116473.14",3291,1865,2421,2892,2821,3770,3101,1788,2778,3972,3609
"ENSG00000116478.11",1433,1279,1185,1033,1449,1795,1342,944,1447,1146,1322
"ENSG00000116489.12",2898,3633,2969,2566,3283,5415,2689,2802,3121,2677,3322
"ENSG00000116497.17",982,713,524,599,689,814,702,529,726,771,713
"ENSG00000116514.16",1019,1126,1414,1072,916,1844,814,825,868,1193,1143
"ENSG00000116521.10",705,904,669,505,837,984,801,583,919,812,809
"ENSG00000116525.13",246,503,229,199,253,296,212,137,437,252,264
"ENSG00000116539.12",9046,6036,6765,6305,6449,7449,6596,4256,6987,9827,8035
"ENSG00000116544.11",20,33,34,18,11,149,10,10,8,22,29
"ENSG00000116560.10",5165,4879,3496,3431,4317,7590,3743,3157,3898,4134,3755
"ENSG00000116574.5",3707,2015,1322,1362,2214,2167,2447,1627,3754,2383,2495
"ENSG00000116580.18",1552,1303,1311,1423,1349,1677,1389,1036,1384,1569,1407
"ENSG00000116584.17",2411,3799,2169,1926,2746,3717,2447,1936,3229,2802,2999
"ENSG00000116586.11",474,556,664,540,774,772,648,490,638,758,736
"ENSG00000116604.17",5952,3035,4055,3767,3317,3740,4770,3236,3677,6683,4567
"ENSG00000116641.17",2302,2109,1640,2245,1496,2615,1915,1320,2026,2219,1947
"ENSG00000116649.9",1277,1376,2098,1395,1711,3327,1546,856,1342,1939,2301
"ENSG00000116652.6",7,12,13,11,9,8,15,7,10,10,11
"ENSG00000116661.10",12,43,16,26,35,7,13,29,38,7,25
"ENSG00000116663.10",109,193,193,201,163,184,175,144,238,238,233
"ENSG00000116667.12",5619,1587,2418,2199,2447,2501,3236,1769,2930,3660,2611
"ENSG00000116668.12",320,268,153,159,197,263,195,162,212,215,182
"ENSG00000116670.14",220,349,307,293,382,480,260,181,260,295,314
"ENSG00000116675.15",45,131,37,74,118,98,41,115,190,37,52
"ENSG00000116678.19",1128,669,793,650,1149,1093,743,777,837,490,836
"ENSG00000116679.15",1786,3230,2118,2821,1791,2544,1227,2065,1726,1678,1938
"ENSG00000116685.15",1631,1596,2317,1500,1840,1809,1989,1118,2116,2722,2315
"ENSG00000116688.16",4417,3610,7020,5661,5380,6827,5778,3010,5740,8658,8605
"ENSG00000116690.12",27,300,157,135,224,380,146,19,94,500,71
"ENSG00000116691.10",300,386,415,377,414,449,294,220,417,358,436
"ENSG00000116698.21",2076,2293,1939,1968,2048,2340,2021,1474,2249,2344,2170
"ENSG00000116701.14",278,1648,517,820,563,961,535,709,509,718,533
"ENSG00000116703.13",0,0,1,0,0,0,0,0,0,0,0
"ENSG00000116704.7",749,746,403,421,525,901,469,723,600,473,531
"ENSG00000116711.9",378,269,268,121,234,203,236,138,266,404,312
"ENSG00000116717.11",339,1859,891,2178,1106,1529,419,635,1277,540,888
"ENSG00000116721.9",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000116726.4",0,1,1,0,0,1,0,0,0,0,1
"ENSG00000116729.13",1625,1138,678,1112,1112,1136,1549,1132,1603,1225,920
"ENSG00000116731.22",4292,3805,3939,3940,3893,5070,3804,2885,3812,4741,4652
"ENSG00000116741.7",7666,2038,2005,763,1748,3021,3786,1343,1865,3175,1875
"ENSG00000116745.6",2,1,2,0,2,3,1,1,2,4,4
"ENSG00000116747.12",3513,2556,2111,1910,2507,3849,2338,1724,2659,2822,2820
"ENSG00000116748.21",1,0,2,0,0,1,1,0,1,0,1
"ENSG00000116750.13",532,522,481,459,510,847,391,342,447,487,518
"ENSG00000116752.5",512,397,360,340,379,618,406,283,393,507,474
"ENSG00000116754.13",1855,1556,1109,1334,1330,2051,1382,1195,1288,1394,1259
"ENSG00000116761.11",40,38,32,30,43,25,20,15,35,55,34
"ENSG00000116771.5",17,30,19,24,32,46,23,3,16,13,30
"ENSG00000116774.11",7884,577,1832,1503,1044,1169,3997,1376,2905,7284,3013
"ENSG00000116783.14",6,0,0,6,2,1,3,3,3,11,4
"ENSG00000116785.13",7,3,5,0,2,3,2,18,3,0,4
"ENSG00000116786.11",1889,2790,2426,2106,2732,3125,2319,1908,2327,2314,2436
"ENSG00000116791.13",1347,555,1322,788,946,1388,1420,744,1073,1308,2082
"ENSG00000116793.15",642,575,509,396,595,795,680,439,583,686,616
"ENSG00000116809.11",555,488,497,420,429,607,500,353,432,534,470
